"Cod_Vigente","Cod_Region","Nom_Region","Cod_Dep_Jerarquica","Dep_Jerarquica","Tipo_Establec","Nom_Oficial","Dep_Admin","Nivel_Atencion","Nom_Comuna","Cod_Comuna","Certificacion"
126412,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Cameron","Municipal","Primario","Timaukel","12303","NO"
126414,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Posta de Salud Rural (PSR)","Posta de Salud Rural Agua Fresca","Municipal","Primario","Punta Arenas","12101","NO"
126102,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Hospital","Hospital Dr. Marco Antonio Chamorro ( Porvenir)","Servicio de Salud","Primario-Secundario ( Por confirmar)","Porvenir","12301","NO"
200311,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro Comunitario de Salud Familiar (CECOSF)","Centro Comunitario de Salud Familiar Dr. Juan Damianovic","Municipal","Primario","Punta Arenas","12101","NO"
200710,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Mental","Complejo Miraflores (Salud Mental)","Servicio de Salud","Secundario","Punta Arenas","12101","NO"
126606,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro Comunitario de Salud Mental  (COSAM)","COSAM Punta Arenas","Municipal","Secundario","Punta Arenas","12101","NO"
126801,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Servicio de Atención Primaria de Urgencia de Alta Resolutividad (SAR)","SAR Dr. Juan Damianovic","Municipal","Primario","Punta Arenas","12101","NO"
126301,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar Dr. Juan Damianovic","Municipal","Primario","Punta Arenas","12101","Centro de Salud Familiar"
200171,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Servicio de Atención Primaria de Urgencia (SAPU)","SAPU 18 de Septiembre","Municipal","Primario","Punta Arenas","12101","NO"
126302,12,"Región De Magallanes y de la Antártica Chilena","26","Servicio de Salud Magallanes","Centro de Salud Familiar (CESFAM)","Centro de Salud Familiar 18 Septiembre","Municipal","Primario","Punta Arenas","12101","Centro de Salud Familiar"
